CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,LOCATION,CITY,STATE
PROSTITUTION,03/18/2015 05:55:00 PM,15-014607,DISORDERLY CONDUCT:PROSTITUTION,18X,2100 E 19TH ST,Oakland,CA
PROSTITUTION,03/18/2015 05:55:00 PM,15-014607,DISORDERLY CONDUCT:SOLICIT LEWD ACT,18X,2100 E 19TH ST,Oakland,CA
PROSTITUTION,03/18/2015 06:08:00 PM,15-014608,DISORDERLY CONDUCT:PROSTITUTION,23X,FRUITVALE AV & INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,03/18/2015 06:08:00 PM,15-014608,DISORDERLY CONDUCT:SOLICIT LEWD ACT,23X,FRUITVALE AV & INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,03/18/2015 07:10:00 PM,15-014623,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 11TH AV,Oakland,CA
PROSTITUTION,03/18/2015 07:36:00 PM,15-014626,DISORDERLY CONDUCT:SOLICIT LEWD ACT,24X,38T 3700 BLK OF INTERNATIONAL BLVD BLVD,Oakland,CA
PROSTITUTION,03/18/2015 08:05:00 PM,15-014632,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 9TH AV,Oakland,CA
PROSTITUTION,03/18/2015 08:05:00 PM,15-014632,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1400 9TH AV,Oakland,CA
PROSTITUTION,03/18/2015 08:10:00 PM,15-014633,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1200 14TH AV,Oakland,CA
PROSTITUTION,03/18/2015 08:10:00 PM,15-014633,DISORDERLY CONDUCT:PROSTITUTION,19X,1200 14TH AV,Oakland,CA
PROSTITUTION,03/18/2015 08:28:00 PM,15-014634,DISORDERLY CONDUCT:SOLICIT LEWD ACT,20X,27TH AV & INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,03/18/2015 08:28:00 PM,15-014634,DISORDERLY CONDUCT:PROSTITUTION,20X,27TH AV & INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,03/18/2015 09:06:00 PM,15-014641,DISORDERLY CONDUCT:PROSTITUTION,23X,1300 37TH AV,Oakland,CA
PROSTITUTION,03/18/2015 09:06:00 PM,15-014641,DISORDERLY CONDUCT:SOLICIT LEWD ACT,23X,1300 37TH AV,Oakland,CA
PROSTITUTION,03/19/2015 05:36:00 PM,15-014821,DISORDERLY CONDUCT:PROSTITUTION,27Y,1400 54TH AV,Oakland,CA
PROSTITUTION,03/19/2015 05:36:00 PM,15-014821,DISORDERLY CONDUCT:SOLICIT LEWD ACT,27Y,1400 54TH AV,Oakland,CA
PROSTITUTION,03/19/2015 05:54:00 PM,15-014823,DISORDERLY CONDUCT:SOLICIT LEWD ACT,20X,1400 24TH AV,Oakland,CA
PROSTITUTION,03/19/2015 05:54:00 PM,15-014823,DISORDERLY CONDUCT:PROSTITUTION,20X,1400 24TH AV,Oakland,CA
PROSTITUTION,03/19/2015 06:30:00 PM,15-014834,DISORDERLY CONDUCT:PROSTITUTION,20X,3050 E. 12TH ST,Oakland,CA
PROSTITUTION,03/19/2015 06:30:00 PM,15-014834,DISORDERLY CONDUCT:SOLICIT LEWD ACT,20X,3050 E. 12TH ST,Oakland,CA
PROSTITUTION,03/19/2015 07:03:00 PM,15-014840,DISORDERLY CONDUCT:PROSTITUTION,20X,2500 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,03/19/2015 07:03:00 PM,15-014840,DISORDERLY CONDUCT:SOLICIT LEWD ACT,20X,2500 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,03/19/2015 07:06:00 PM,15-014839,DISORDERLY CONDUCT:SOLICIT LEWD ACT,20X,1400 MILLER AV,Oakland,CA
PROSTITUTION,03/19/2015 07:06:00 PM,15-014839,DISORDERLY CONDUCT:PROSTITUTION,20X,1400 MILLER AV,Oakland,CA
PROSTITUTION,03/19/2015 07:25:00 PM,15-014844,DISORDERLY CONDUCT:SOLICIT LEWD ACT,23X,1400 36TH AV,Oakland,CA
